date,daily_demand,avg_price,price_std,min_price,max_price,median_price,customer_type,year,month,day,dayofweek,quarter,weekofyear,demand_lag_1,price_lag_1,demand_lag_2,price_lag_2,demand_lag_3,price_lag_3,demand_lag_7,price_lag_7,demand_lag_14,price_lag_14,demand_lag_30,price_lag_30,demand_ma_3,price_ma_3,demand_std_3,price_std_3,demand_ma_7,price_ma_7,demand_std_7,price_std_7,demand_ma_14,price_ma_14,demand_std_14,price_std_14,demand_ma_30,price_ma_30,demand_std_30,price_std_30,price_range,price_cv,is_weekend,is_month_start,is_month_end,season,demand_price_ratio,price_demand_elasticity,demand_trend,price_trend
2015-07-01,13,99.96,27.08,62.0,153.0,99.67,线下用户,2015,7,1,2,3,27,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,4.242640687119285,20.937431790933676,13.0,99.96,4.242640687119285,20.937431790933676,13.0,99.96,4.242640687119285,20.937431790933676,13.0,99.96,4.242640687119285,20.937431790933676,91.0,0.2709083633182365,0,1,0,2,0.13005202079531294,-0.6418067365948883,0.0,0.0
2015-07-02,7,129.57,13.05,107.0,147.0,133.0,线下用户,2015,7,2,3,3,27,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,10.0,114.76499999999999,4.242640687119285,20.937431790933676,10.0,114.76499999999999,4.242640687119285,20.937431790933676,10.0,114.76499999999999,4.242640687119285,20.937431790933676,10.0,114.76499999999999,4.242640687119285,20.937431790933676,40.0,0.10071775873267595,0,1,0,2,0.054024851427489015,-0.6418067365948883,-5.999999999999999,29.61
2015-07-03,2,109.98,26.91,90.95,129.0,109.98,线下用户,2015,7,3,4,3,27,7.0,129.57,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,7.333333333333333,113.17,5.507570547286102,15.060547798802009,7.333333333333333,113.17,5.507570547286102,15.060547798802009,7.333333333333333,113.17,5.507570547286102,15.060547798802009,7.333333333333333,113.17,5.507570547286102,15.060547798802009,38.05,0.24468085104158205,0,1,0,2,0.018185124566449797,0.2116693708726093,-5.5,5.010000000000006
2015-07-04,7,105.21,52.17,95.325,154.0,112.5,线下用户,2015,7,4,5,3,27,2.0,109.98,7.0,129.57,13.0,99.96,13.0,99.96,13.0,99.96,13.0,99.96,5.333333333333333,114.92,2.886751345948129,12.90949650451171,7.25,111.17999999999999,4.5,12.92492940019403,7.25,111.17999999999999,4.5,12.92492940019403,7.25,111.17999999999999,4.5,12.92492940019403,58.675,0.49586541198594575,1,0,0,2,0.06653359946140733,-0.017348608768576145,-2.3000000000000025,-0.3840000000000134
2015-07-05,6,129.49,29.09,99.7,167.0,118.58,线下用户,2015,7,5,6,3,27,7.0,105.21,2.0,109.98,7.0,129.57,13.0,99.96,13.0,99.96,13.0,99.96,5.0,114.89333333333333,2.645751311064591,12.864106394667823,7.0,114.84200000000001,3.9370039370059056,13.868726329407474,7.0,114.84200000000001,3.9370039370059056,13.868726329407474,7.0,114.84200000000001,3.9370039370059056,13.868726329407474,67.3,0.22465055214884153,1,0,0,2,0.0463356243689601,-1.615435908157027,-1.400000000000001,3.470000000000002
2015-07-06,7,138.01,46.12,73.0,210.0,131.0,线下用户,2015,7,6,0,3,28,6.0,129.49,7.0,105.21,2.0,109.98,13.0,99.96,13.0,99.96,13.0,99.96,6.666666666666667,124.23666666666666,0.5773502691896237,17.01934585503607,7.0,118.70333333333333,3.5213633723318023,15.599122624899989,7.0,118.70333333333333,3.5213633723318023,15.599122624899989,7.0,118.70333333333333,3.5213633723318023,15.599122624899989,137.0,0.3341786826799378,0,0,0,2,0.05072096224543722,0.39477949596725675,-0.8000000000000004,5.292571428571435
2015-07-07,8,137.53,46.38,58.95,195.0,149.22,线下用户,2015,7,7,1,3,28,7.0,138.01,6.0,129.49,7.0,105.21,13.0,99.96,13.0,99.96,13.0,99.96,7.0,135.01,0.9999999999999983,4.786480962043001,7.142857142857143,121.39285714285714,3.236694374850748,15.918918215219813,7.142857142857143,121.39285714285714,3.236694374850748,15.918918215219813,7.142857142857143,121.39285714285714,3.236694374850748,15.918918215219813,136.05,0.33723551222735143,0,0,0,2,0.05816912673175531,-0.024346060175349467,-0.39285714285714307,5.325000000000012
2015-07-08,5,97.21,15.13,77.96,112.0,104.72,线下用户,2015,7,8,2,3,28,8.0,137.53,7.0,138.01,6.0,129.49,13.0,99.96,13.0,99.96,13.0,99.96,6.666666666666667,124.25,1.527525231651946,23.418556744598927,6.0,120.99999999999999,2.0000000000000004,16.557146493281987,6.875,118.36999999999999,3.090885217631258,17.038531962248726,6.875,118.36999999999999,3.090885217631258,17.038531962248726,34.040000000000006,0.15564242360295832,0,0,0,2,0.05143503754228629,0.7817930841794525,0.2142857142857141,-0.3278571428571447
2015-07-09,9,119.52,33.3,80.0,180.67,124.0,线下用户,2015,7,9,3,3,28,5.0,97.21,8.0,137.53,7.0,138.01,7.0,129.57,13.0,99.96,13.0,99.96,7.333333333333333,118.08666666666666,2.0816659994661317,20.19817896082053,6.285714285714286,119.56428571428572,2.2886885410853175,16.120128056917807,7.111111111111111,118.49777777777778,2.9767618499152917,15.942696429539279,7.111111111111111,118.49777777777778,2.9767618499152917,15.942696429539279,100.66999999999999,0.2786144578080142,0,0,0,2,0.07530120481297681,0.28687891833562656,0.6785714285714289,0.7378571428571449
2015-07-10,7,158.39,35.19,98.0,197.0,161.0,线下用户,2015,7,10,4,3,28,9.0,119.52,5.0,97.21,8.0,137.53,2.0,109.98,13.0,99.96,13.0,99.96,7.0,125.04,1.9999999999999991,30.961280658267345,7.0,126.47999999999999,1.2909944487358063,20.975934623595045,7.1,122.487,2.806737924669451,19.62313546698273,7.1,122.487,2.806737924669451,19.62313546698273,99.0,0.22217311697568198,0,0,0,2,0.04419470925915811,-1.4634789815192046,0.14285714285714282,3.5285714285714285
